subj_id,inclusion,block,trial,task,alpha,angle_sigma,orientation,stimulus,response,accuracy,response_time,confidence,increase_presses,decrease_presses,BOLD_rTPJ,BOLD_pMFC,BOLD_FPm,BOLD_FPl,BOLD_preSMA,BOLD_vmPFC
01LeEm,0,2,218,Discrimination,0.0477987293703271,7.01486765864282,45,1,0,0,0.800181099999463,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,219,Discrimination,0.0477987293703271,7.01486765864282,45,1,1,1,0.867708899999343,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,220,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.900124699999651,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,221,Discrimination,0.0477987293703271,7.01486765864282,45,1,0,0,0.949935200000255,4,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,222,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.9980644999996,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,223,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.783555400000296,3,2,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,224,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.800597800000105,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,225,Discrimination,0.0477987293703271,7.01486765864282,45,1,0,0,1.03350090000004,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,2,226,Discrimination,0.0477987293703271,7.01486765864282,-45,0,0,1,0.718546299999616,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,327,Discrimination,0.0477987293703271,6.5,45,1,0,0,0.978773799999544,3,0,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,328,Discrimination,0.0477987293703271,6.5,-45,0,0,1,1.00088800000049,5,0,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,329,Discrimination,0.0477987293703271,6.5,45,1,0,0,1.09995690000051,3,1,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,330,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.866394000000582,6,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,331,Discrimination,0.0477987293703271,6.5,45,1,0,0,1.26784860000043,5,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,332,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.867056900000534,4,2,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,333,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.584685199999512,6,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,334,Discrimination,0.0477987293703271,6.5,45,1,0,0,1.05308239999977,3,0,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,335,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.984739999999874,6,5,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,336,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.766907599999286,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,337,Discrimination,0.0477987293703271,6.5,45,1,1,1,1.13133980000021,4,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,338,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.850584200000412,3,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,339,Discrimination,0.0477987293703271,6.5,-45,0,0,1,1.26730570000018,6,5,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,340,Discrimination,0.0477987293703271,6.5,45,1,1,1,1.00023810000039,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,341,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.898245100000167,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,342,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.750276299999314,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,343,Discrimination,0.0477987293703271,6.5,-45,0,1,0,1.01933989999998,4,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,344,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.91668910000044,4,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,345,Discrimination,0.0477987293703271,6.5,-45,0,0,1,1.30075809999926,4,0,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,346,Discrimination,0.0477987293703271,6.5,-45,0,1,0,0.798472100000254,5,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,347,Discrimination,0.0477987293703271,6.5,-45,0,0,1,1.2004052000002,5,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,348,Discrimination,0.0477987293703271,6.5,-45,0,0,1,1.41672350000044,3,0,3,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,349,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.866680000000088,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,350,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.850055599999905,6,1,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,351,Discrimination,0.0477987293703271,6.5,-45,0,1,0,1.00001169999996,2,0,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,3,352,Discrimination,0.0477987293703271,6.5,45,1,1,1,1.13356560000011,2,1,1,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,453,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.832718000000568,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,454,Discrimination,0.0477987293703271,6.5,45,1,0,0,1.26884789999986,4,2,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,455,Discrimination,0.0477987293703271,6.5,45,1,NaN,NaN,NaN,NaN,0,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,456,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.799968700000136,5,1,3,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,457,Discrimination,0.0477987293703271,6.5,-45,0,0,1,1.06498159999956,5,4,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,458,Discrimination,0.0477987293703271,6.5,-45,0,1,0,0.950108999999429,2,2,2,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,459,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.717055099999925,6,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,460,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.764494800000648,6,6,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,461,Discrimination,0.0477987293703271,6.5,45,1,1,1,0.917085900000529,5,3,0,NaN,NaN,NaN,NaN,NaN,NaN
01LeEm,0,4,462,Discrimination,0.0477987293703271,6.5,-45,0,0,1,0.83391920000031,6,4,0,NaN,NaN,NaN,NaN,NaN,NaN
